rule_id,src_obj_id,dst_obj_id
rule_0000,obj_04083,obj_05420
rule_0000,obj_04987,obj_09572
rule_0000,obj_02993,obj_08605
rule_0000,obj_03197,obj_04125
rule_0000,obj_04818,obj_05488
rule_0000,obj_02857,obj_08257
rule_0000,obj_00211,obj_08537
rule_0000,obj_01729,obj_00018
rule_0000,obj_04166,obj_08140
rule_0000,obj_00899,obj_08319
rule_0000,obj_04223,obj_08582
rule_0000,obj_00534,obj_08161
rule_0000,obj_00060,obj_08249
rule_0000,obj_03218,obj_09565
rule_0000,obj_03543,obj_08430
rule_0000,obj_02129,obj_08755
rule_0000,obj_02410,obj_05983
rule_0000,obj_05119,obj_08201
rule_0000,obj_00370,obj_08786
rule_0000,obj_03284,obj_08274
rule_0000,obj_00830,obj_09450
rule_0000,obj_03613,obj_00211
rule_0000,obj_00407,obj_09333
rule_0000,obj_00343,obj_08311
rule_0000,obj_00243,obj_00260
rule_0000,obj_03377,obj_09609
rule_0000,obj_01772,obj_08129
rule_0000,obj_03463,obj_08027
rule_0000,obj_04444,obj_09363
rule_0000,obj_00459,obj_08332
rule_0000,obj_04776,obj_06273
rule_0000,obj_04328,obj_08278
rule_0000,obj_04558,obj_04019
rule_0000,obj_02166,obj_08467
rule_0000,obj_00161,obj_08210
rule_0000,obj_02479,obj_06905
rule_0000,obj_03443,obj_08085
rule_0000,obj_00504,obj_09461
rule_0000,obj_04539,obj_08821
rule_0000,obj_00713,obj_08722
rule_0000,obj_02535,obj_09724
rule_0000,obj_01282,obj_06326
rule_0000,obj_03501,obj_09642
rule_0000,obj_04757,obj_08689
rule_0000,obj_00778,obj_08612
rule_0000,obj_01770,obj_03218
rule_0000,obj_00655,obj_08785
rule_0000,obj_06661,obj_09428
rule_0000,obj_01840,obj_08330
rule_0000,obj_04944,obj_08492
rule_0000,obj_01076,obj_09599
rule_0000,obj_00294,obj_07528
rule_0000,obj_03363,obj_00337
rule_0000,obj_05093,obj_08091
rule_0000,obj_01451,obj_05119
rule_0000,obj_03493,obj_01144
rule_0000,obj_04041,obj_08501
rule_0000,obj_02447,obj_02061
rule_0000,obj_00489,obj_06787
rule_0000,obj_02243,obj_00598
rule_0000,obj_02054,obj_00473
rule_0000,obj_01758,obj_08654
rule_0000,obj_00462,obj_03363
rule_0000,obj_00073,obj_08730
rule_0000,obj_02596,obj_08276
rule_0000,obj_03846,obj_03514
rule_0000,obj_05166,obj_00391
rule_0000,obj_02513,obj_08196
rule_0000,obj_02437,obj_03085
rule_0000,obj_02131,obj_08544
rule_0000,obj_01095,obj_08723
rule_0000,obj_03190,obj_09545
rule_0000,obj_01753,obj_09200
rule_0000,obj_02460,obj_08952
rule_0000,obj_04710,obj_08685
rule_0000,obj_01367,obj_00343
rule_0000,obj_04245,obj_08719
rule_0000,obj_03496,obj_00815
rule_0000,obj_03130,obj_08770
rule_0000,obj_03689,obj_08189
rule_0000,obj_03634,obj_08523
rule_0000,obj_01812,obj_02588
rule_0000,obj_03286,obj_08664
rule_0000,obj_03653,obj_08379
rule_0000,obj_04525,obj_08385
rule_0000,obj_02370,obj_01367
rule_0000,obj_04616,obj_08251
rule_0000,obj_02750,obj_09520
rule_0000,obj_03767,obj_08632
rule_0000,obj_01342,obj_08164
rule_0000,obj_02020,obj_08428
rule_0000,obj_03750,obj_08486
rule_0000,obj_01638,obj_00846
rule_0000,obj_00622,obj_00411
rule_0000,obj_03612,obj_08002
rule_0000,obj_05075,obj_09590
rule_0000,obj_07270,obj_08073
rule_0000,obj_03267,obj_08666
rule_0000,obj_03889,obj_07467
rule_0000,obj_00966,obj_08092
rule_0000,obj_03192,obj_08001
rule_0000,obj_00238,obj_09524
rule_0000,obj_01155,obj_08065
rule_0000,obj_00613,obj_08452
rule_0000,obj_03852,obj_08253
rule_0000,obj_01492,obj_09473
rule_0000,obj_01571,obj_08761
rule_0000,obj_03454,obj_09456
rule_0000,obj_02236,obj_08156
rule_0000,obj_04005,obj_09618
rule_0000,obj_04580,obj_08175
rule_0000,obj_04577,obj_08487
rule_0000,obj_02178,obj_09431
rule_0000,obj_04120,obj_02131
rule_0000,obj_01322,obj_03612
rule_0000,obj_00013,obj_05983
rule_0000,obj_01829,obj_00018
rule_0000,obj_04402,obj_09524
rule_0000,obj_00862,obj_08719
rule_0000,obj_02510,obj_09599
rule_0000,obj_04611,obj_09431
rule_0000,obj_00346,obj_08274
rule_0000,obj_00955,obj_08632
rule_0000,obj_00171,obj_03218
rule_0000,obj_03231,obj_08379
rule_0000,obj_02878,obj_08452
rule_0000,obj_03649,obj_09590
rule_0000,obj_00874,obj_08612
rule_0000,obj_01651,obj_09431
rule_0000,obj_04829,obj_08770
rule_0000,obj_02524,obj_09450
rule_0000,obj_05051,obj_08523
rule_0000,obj_02897,obj_08467
rule_0000,obj_01715,obj_08253
rule_0000,obj_00895,obj_08755
rule_0000,obj_01386,obj_04019
rule_0000,obj_01645,obj_09461
rule_0000,obj_00675,obj_09333
rule_0000,obj_04307,obj_08092
rule_0000,obj_05208,obj_08276
rule_0000,obj_00918,obj_08002
rule_0000,obj_05283,obj_06787
rule_0000,obj_05840,obj_08196
rule_0000,obj_03217,obj_09461
rule_0000,obj_04935,obj_08251
rule_0000,obj_02558,obj_08719
rule_0000,obj_01014,obj_08129
rule_0000,obj_04620,obj_08311
rule_0000,obj_02778,obj_00846
rule_0000,obj_04800,obj_02061
rule_0000,obj_00847,obj_08210
rule_0000,obj_04262,obj_02588
rule_0000,obj_04181,obj_08251
rule_0000,obj_04568,obj_05420
rule_0000,obj_04065,obj_06905
rule_0000,obj_02359,obj_00391
rule_0000,obj_02287,obj_04125
rule_0000,obj_00258,obj_08430
rule_0000,obj_02822,obj_09590
rule_0000,obj_01644,obj_09524
rule_0000,obj_01089,obj_08428
rule_0000,obj_03195,obj_08001
rule_0000,obj_05286,obj_08249
rule_0000,obj_05054,obj_09456
rule_0000,obj_04965,obj_08002
rule_0000,obj_04858,obj_08722
rule_0000,obj_05055,obj_08027
rule_0000,obj_03059,obj_08761
rule_0000,obj_04657,obj_08605
rule_0000,obj_00725,obj_09572
rule_0000,obj_03520,obj_08311
rule_0000,obj_03792,obj_08311
rule_0000,obj_04010,obj_06787
rule_0000,obj_02443,obj_09609
rule_0000,obj_05198,obj_08319
rule_0000,obj_01887,obj_09618
rule_0000,obj_02346,obj_03363
rule_0000,obj_01704,obj_08332
rule_0000,obj_02948,obj_08073
rule_0000,obj_04564,obj_07528
rule_0000,obj_05249,obj_08175
rule_0000,obj_01002,obj_08501
rule_0000,obj_03593,obj_04125
rule_0000,obj_00392,obj_08666
rule_0000,obj_08792,obj_08467
rule_0000,obj_03536,obj_08821
rule_0000,obj_03646,obj_09642
rule_0000,obj_01390,obj_08430
rule_0000,obj_03977,obj_09363
rule_0000,obj_03167,obj_01367
rule_0000,obj_03655,obj_08785
rule_0000,obj_04512,obj_02061
rule_0000,obj_03408,obj_09590
rule_0000,obj_00598,obj_08249
rule_0000,obj_04276,obj_09456
rule_0000,obj_00494,obj_01367
rule_0000,obj_02440,obj_08189
rule_0000,obj_00808,obj_06905
rule_0000,obj_00136,obj_00260
rule_0000,obj_04027,obj_09520
rule_0000,obj_04188,obj_08274
rule_0000,obj_01452,obj_09520
rule_0000,obj_03524,obj_08311
rule_0000,obj_01281,obj_06787
rule_0000,obj_03866,obj_08002
rule_0000,obj_00979,obj_05119
rule_0000,obj_09435,obj_08666
rule_0000,obj_00440,obj_00473
rule_0000,obj_08324,obj_08428
rule_0000,obj_02120,obj_09333
rule_0000,obj_00018,obj_08164
rule_0000,obj_00549,obj_08685
rule_0000,obj_00001,obj_09333
rule_0000,obj_01491,obj_08156
rule_0000,obj_01185,obj_08605
rule_0000,obj_00397,obj_08664
rule_0000,obj_00815,obj_08002
rule_0000,obj_03451,obj_08027
rule_0000,obj_03514,obj_08319
rule_0000,obj_03237,obj_09572
rule_0000,obj_00601,obj_03218
rule_0000,obj_01142,obj_08189
rule_0000,obj_00256,obj_05119
rule_0000,obj_03138,obj_08140
rule_0000,obj_04790,obj_08664
rule_0000,obj_03009,obj_09363
rule_0000,obj_02536,obj_08161
rule_0000,obj_01328,obj_09724
rule_0000,obj_09029,obj_08467
rule_0000,obj_01972,obj_06273
rule_0000,obj_00964,obj_09599
rule_0000,obj_02983,obj_00391
rule_0000,obj_03020,obj_09590
rule_0000,obj_02266,obj_08276
rule_0000,obj_03869,obj_09200
rule_0000,obj_01491,obj_08073
rule_0000,obj_05051,obj_04125
rule_0000,obj_05283,obj_08492
rule_0000,obj_02346,obj_08685
rule_0000,obj_00725,obj_08379
rule_0000,obj_03852,obj_00391
rule_0000,obj_05166,obj_08952
rule_0000,obj_02479,obj_01144
rule_0000,obj_04276,obj_07467
rule_0000,obj_00161,obj_00391
rule_0000,obj_04328,obj_00343
rule_0000,obj_03009,obj_08755
rule_0000,obj_01715,obj_01367
rule_0000,obj_03493,obj_07528
rule_0000,obj_02266,obj_08274
rule_0000,obj_04965,obj_05983
rule_0000,obj_00489,obj_09431
rule_0000,obj_01089,obj_08379
rule_0000,obj_01491,obj_08201
rule_0000,obj_03496,obj_00598
rule_0000,obj_00161,obj_02131
rule_0000,obj_03613,obj_08452
rule_0000,obj_00601,obj_08330
rule_0000,obj_01076,obj_08156
rule_0000,obj_01812,obj_09572
rule_0000,obj_03195,obj_08276
rule_0000,obj_01451,obj_05119
rule_0000,obj_02266,obj_09618
rule_0000,obj_02020,obj_08156
rule_0000,obj_04776,obj_08278
rule_0000,obj_04065,obj_08274
rule_0000,obj_03237,obj_07467
rule_0000,obj_01451,obj_09428
rule_0000,obj_04657,obj_09565
rule_0000,obj_05054,obj_08073
rule_0000,obj_02443,obj_09333
rule_0000,obj_04276,obj_05983
rule_0000,obj_00161,obj_08274
rule_0000,obj_08324,obj_08065
rule_0000,obj_03286,obj_00018
rule_0000,obj_00979,obj_08952
rule_0000,obj_01282,obj_09450
rule_0000,obj_00830,obj_08196
rule_0000,obj_02440,obj_08129
rule_0000,obj_04328,obj_08723
rule_0000,obj_05093,obj_08065
rule_0000,obj_03520,obj_08201
rule_0000,obj_04223,obj_08164
rule_0000,obj_05208,obj_08175
rule_0000,obj_01342,obj_02131
rule_0000,obj_00258,obj_00211
rule_0000,obj_02479,obj_08257
rule_0000,obj_04223,obj_08501
rule_0000,obj_02750,obj_09333
rule_0000,obj_00534,obj_09524
rule_0000,obj_03377,obj_05119
